Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
24,Female,60.10,1.79,170.00,165.00,63.00,1.97,"1,625.00",Cardio,15.90,2.70,4.00,3.00,18.76
27,Male,88.50,1.98,161.00,153.00,53.00,1.80,"1,515.00",Cardio,11.10,3.50,4.00,3.00,22.57
43,Male,82.90,1.95,181.00,160.00,70.00,1.90,"1,505.00",Cardio,12.90,3.50,5.00,3.00,21.80
29,Male,88.10,1.93,186.00,143.00,66.00,1.88,"1,479.00",Cardio,11.10,3.50,5.00,3.00,23.65
59,Male,85.50,1.67,190.00,144.00,71.00,1.99,"1,418.00",Cardio,15.00,3.50,5.00,3.00,30.66
38,Male,85.80,1.80,168.00,149.00,68.00,1.72,"1,410.00",Cardio,10.10,3.50,4.00,3.00,26.48
36,Male,70.30,1.72,174.00,169.00,73.00,1.49,"1,385.00",Cardio,21.30,2.30,3.00,2.00,23.76
40,Female,62.60,1.53,197.00,143.00,73.00,1.93,"1,380.00",Cardio,18.10,2.70,5.00,3.00,26.74
38,Male,83.60,1.74,164.00,151.00,51.00,1.66,"1,379.00",Cardio,11.60,3.50,5.00,3.00,27.61
23,Female,60.90,1.62,193.00,168.00,69.00,1.59,"1,336.00",Cardio,16.80,2.70,5.00,3.00,23.21
19,Female,59.10,1.57,184.00,162.00,50.00,1.65,"1,336.00",Cardio,17.90,2.70,5.00,3.00,23.98
23,Male,81.40,1.85,194.00,150.00,74.00,1.60,"1,320.00",Cardio,12.40,3.50,4.00,3.00,23.78
29,Male,88.00,1.89,199.00,137.00,54.00,1.75,"1,319.00",Cardio,13.30,3.50,5.00,3.00,24.64
23,Male,114.80,1.60,182.00,163.00,60.00,1.47,"1,318.00",Cardio,21.70,2.70,4.00,2.00,44.84
25,Female,59.40,1.51,185.00,161.00,54.00,1.62,"1,304.00",Cardio,19.80,2.70,5.00,3.00,26.05
25,Male,95.60,1.90,190.00,160.00,72.00,1.47,"1,294.00",Cardio,23.80,2.40,4.00,2.00,26.48
57,Male,81.40,1.86,162.00,145.00,70.00,1.80,"1,292.00",Cardio,12.00,3.50,5.00,3.00,23.53
20,Male,85.70,1.92,172.00,136.00,58.00,1.72,"1,287.00",Cardio,10.50,3.50,5.00,3.00,23.25
23,Male,83.80,1.99,179.00,130.00,71.00,1.79,"1,280.00",Cardio,11.00,3.50,4.00,3.00,21.16
22,Male,102.10,1.85,190.00,157.00,67.00,1.48,"1,278.00",Cardio,28.10,2.40,4.00,2.00,29.83
34,Female,56.20,1.77,192.00,138.00,59.00,1.81,"1,249.00",Cardio,17.30,2.70,5.00,3.00,17.94
48,Male,80.60,1.77,198.00,167.00,66.00,1.51,"1,248.00",Cardio,12.90,3.50,4.00,3.00,25.73
35,Male,62.80,1.63,184.00,160.00,63.00,1.41,"1,241.00",Cardio,21.90,3.70,4.00,2.00,23.64
43,Female,55.20,1.73,167.00,165.00,62.00,1.67,"1,240.00",Cardio,16.60,2.70,5.00,3.00,18.44
19,Female,64.30,1.63,197.00,132.00,57.00,1.87,"1,234.00",Cardio,18.00,2.70,5.00,3.00,24.20
50,Male,89.60,1.68,182.00,139.00,74.00,1.79,"1,232.00",Cardio,12.20,3.50,5.00,3.00,31.75
52,Female,61.50,1.69,160.00,152.00,63.00,1.80,"1,231.00",Cardio,15.50,2.70,4.00,3.00,21.53
30,Female,61.60,1.52,178.00,138.00,71.00,1.78,"1,228.00",Cardio,19.50,2.70,4.00,3.00,26.66
56,Female,64.20,1.69,190.00,137.00,61.00,1.99,"1,227.00",Cardio,19.60,2.70,5.00,3.00,22.48
50,Male,86.70,1.63,161.00,143.00,58.00,1.70,"1,203.00",Cardio,12.10,3.50,4.00,3.00,32.63
22,Male,96.30,1.63,180.00,162.00,62.00,1.35,"1,203.00",Cardio,27.10,2.40,4.00,2.00,36.25
36,Female,47.20,1.74,196.00,160.00,53.00,1.50,"1,200.00",Cardio,32.20,1.60,4.00,2.00,15.59
36,Male,90.30,1.65,169.00,158.00,71.00,1.38,"1,199.00",Cardio,23.70,3.40,4.00,2.00,33.17
39,Male,81.70,1.75,165.00,165.00,55.00,1.32,"1,198.00",Cardio,29.10,2.80,4.00,2.00,26.68
32,Male,85.30,1.64,178.00,123.00,69.00,1.77,"1,197.00",Cardio,13.20,3.50,4.00,3.00,31.71
32,Male,87.90,1.88,173.00,143.00,64.00,1.52,"1,195.00",Cardio,11.60,3.50,5.00,3.00,24.87
40,Male,93.60,1.93,188.00,157.00,60.00,1.38,"1,192.00",Cardio,22.10,2.00,3.00,1.00,25.13
46,Male,45.00,1.77,185.00,162.00,58.00,1.48,"1,187.00",Cardio,29.10,3.60,3.00,2.00,14.36
20,Female,64.30,1.78,188.00,137.00,61.00,1.71,"1,171.00",Cardio,18.70,2.70,4.00,3.00,20.29
19,Female,49.10,1.68,193.00,164.00,58.00,1.42,"1,164.00",Cardio,25.30,2.60,4.00,2.00,17.40
41,Male,82.50,1.79,185.00,139.00,61.00,1.69,"1,163.00",Cardio,14.70,3.50,4.00,3.00,25.75
34,Female,74.20,1.57,178.00,158.00,52.00,1.47,"1,161.00",Cardio,32.70,2.40,3.00,1.00,30.10
46,Female,58.00,1.53,196.00,140.00,62.00,1.83,"1,153.00",Cardio,18.40,2.70,4.00,3.00,24.78
49,Male,88.60,2.00,162.00,127.00,56.00,1.83,"1,150.00",Cardio,14.90,3.50,4.00,3.00,22.15
46,Female,61.00,1.71,181.00,153.00,61.00,1.67,"1,150.00",Cardio,17.80,2.70,4.00,3.00,20.86
25,Male,105.00,1.88,174.00,156.00,67.00,1.34,"1,150.00",Cardio,21.40,2.30,3.00,2.00,29.71
33,Male,45.90,1.89,193.00,144.00,50.00,1.45,"1,148.00",Cardio,21.60,2.90,3.00,2.00,12.85
53,Male,84.20,1.76,165.00,137.00,69.00,1.67,"1,133.00",Cardio,12.80,3.50,5.00,3.00,27.18
19,Male,87.80,1.78,195.00,161.00,72.00,1.28,"1,133.00",Cardio,23.60,3.30,2.00,1.00,27.71
45,Male,51.10,1.87,177.00,158.00,57.00,1.44,"1,126.00",Cardio,26.20,3.40,4.00,2.00,14.61
56,Male,88.50,1.85,161.00,144.00,59.00,1.57,"1,119.00",Cardio,11.00,3.50,4.00,3.00,25.86
29,Male,106.50,1.81,177.00,156.00,60.00,1.29,"1,107.00",Cardio,25.70,2.50,4.00,2.00,32.51
58,Male,103.50,1.66,172.00,168.00,61.00,1.33,"1,106.00",Cardio,24.60,3.10,3.00,1.00,37.56
30,Male,90.00,1.66,165.00,152.00,71.00,1.32,"1,104.00",Cardio,26.60,2.10,4.00,2.00,32.66
38,Male,61.30,1.97,177.00,146.00,51.00,1.37,"1,100.00",Cardio,23.50,2.80,3.00,1.00,15.80
30,Male,121.60,2.00,179.00,160.00,60.00,1.24,"1,091.00",Cardio,28.00,3.30,4.00,2.00,30.40
55,Male,91.80,1.78,165.00,153.00,65.00,1.44,"1,091.00",Cardio,23.50,3.40,3.00,1.00,28.97
34,Male,110.50,1.86,188.00,139.00,62.00,1.42,"1,086.00",Cardio,22.30,3.60,2.00,1.00,31.94
40,Male,58.20,1.98,198.00,138.00,74.00,1.43,"1,085.00",Cardio,24.00,2.50,3.00,2.00,14.85
36,Male,121.90,1.93,195.00,132.00,54.00,1.49,"1,082.00",Cardio,21.80,3.40,3.00,2.00,32.73
38,Male,68.70,1.92,170.00,150.00,73.00,1.31,"1,081.00",Cardio,29.00,3.00,4.00,2.00,18.64
23,Male,80.90,1.80,178.00,126.00,59.00,1.55,"1,074.00",Cardio,10.70,3.50,4.00,3.00,24.97
20,Male,101.00,1.91,179.00,143.00,58.00,1.36,"1,070.00",Cardio,29.30,2.70,3.00,2.00,27.69
23,Female,65.20,1.62,192.00,156.00,59.00,1.37,"1,069.00",Cardio,31.10,2.50,3.00,2.00,24.84
56,Female,55.70,1.53,190.00,124.00,66.00,1.91,"1,066.00",Cardio,16.10,2.70,5.00,3.00,23.79
45,Male,78.30,1.96,166.00,167.00,62.00,1.29,"1,066.00",Cardio,29.00,2.20,3.00,1.00,20.38
56,Male,109.60,1.66,188.00,166.00,66.00,1.29,"1,060.00",Cardio,20.50,3.10,3.00,2.00,39.77
25,Male,112.40,1.96,188.00,135.00,72.00,1.42,"1,054.00",Cardio,23.20,2.50,2.00,1.00,29.26
42,Female,57.50,1.67,161.00,133.00,63.00,1.76,"1,053.00",Cardio,16.20,2.70,5.00,3.00,20.62
35,Female,78.90,1.64,196.00,164.00,70.00,1.28,"1,050.00",Cardio,25.30,2.60,4.00,2.00,29.34
32,Male,77.40,1.92,174.00,137.00,50.00,1.39,"1,047.00",Cardio,26.70,3.30,3.00,2.00,21.00
30,Female,79.20,1.62,181.00,166.00,66.00,1.26,"1,046.00",Cardio,28.00,2.50,4.00,2.00,30.18
46,Female,60.10,1.65,175.00,137.00,69.00,1.69,"1,042.00",Cardio,17.30,2.70,4.00,3.00,22.08
40,Female,63.50,1.61,163.00,159.00,59.00,1.31,"1,041.00",Cardio,33.40,1.60,3.00,2.00,24.50
45,Female,65.10,1.78,180.00,158.00,66.00,1.46,"1,038.00",Cardio,31.30,2.30,3.00,1.00,20.55
18,Female,57.20,1.75,193.00,160.00,74.00,1.29,"1,032.00",Cardio,33.50,2.40,3.00,2.00,18.68
24,Female,69.70,1.75,166.00,146.00,60.00,1.41,"1,029.00",Cardio,32.50,2.00,3.00,1.00,22.76
51,Male,88.20,1.62,163.00,133.00,72.00,1.56,"1,027.00",Cardio,11.80,3.50,4.00,3.00,33.61
28,Male,84.80,1.79,182.00,138.00,55.00,1.35,"1,025.00",Cardio,28.80,2.30,4.00,2.00,26.47
39,Female,68.60,1.64,162.00,154.00,53.00,1.33,"1,024.00",Cardio,32.40,1.50,3.00,2.00,25.51
25,Male,88.10,1.95,182.00,131.00,68.00,1.41,"1,016.00",Cardio,22.70,3.00,2.00,1.00,23.17
47,Male,45.90,1.93,166.00,159.00,65.00,1.29,"1,015.00",Cardio,29.60,2.00,3.00,2.00,12.32
57,Male,112.50,1.61,195.00,165.00,61.00,1.24,"1,013.00",Cardio,22.10,2.70,3.00,2.00,43.40
50,Male,50.60,1.69,162.00,156.00,60.00,1.31,"1,012.00",Cardio,23.80,3.00,2.00,1.00,17.72
39,Male,58.30,1.93,165.00,136.00,58.00,1.35,"1,010.00",Cardio,27.40,3.70,4.00,2.00,15.65
28,Female,69.60,1.58,182.00,135.00,50.00,1.49,"1,006.00",Cardio,27.80,2.00,3.00,2.00,27.88
42,Female,57.70,1.57,167.00,122.00,52.00,1.83,"1,005.00",Cardio,17.70,2.70,4.00,3.00,23.41
57,Female,43.80,1.75,180.00,160.00,73.00,1.39,"1,001.00",Cardio,25.10,1.70,2.00,1.00,14.30
20,Male,124.30,1.82,194.00,145.00,63.00,1.25,997.00,Cardio,22.40,3.20,3.00,2.00,37.53
27,Female,58.00,1.79,164.00,143.00,73.00,1.39,994.00,Cardio,27.10,1.50,2.00,1.00,18.10
18,Female,52.30,1.74,187.00,165.00,58.00,1.20,990.00,Cardio,29.40,2.20,2.00,1.00,17.27
43,Male,108.60,1.73,174.00,150.00,66.00,1.33,988.00,Cardio,28.50,2.20,2.00,1.00,36.29
36,Male,123.70,1.69,185.00,138.00,73.00,1.30,987.00,Cardio,20.40,2.10,4.00,2.00,43.31
35,Male,100.90,1.63,161.00,163.00,59.00,1.10,986.00,Cardio,28.40,3.10,2.00,1.00,37.98
57,Female,64.40,1.56,177.00,144.00,73.00,1.52,985.00,Cardio,17.80,2.70,5.00,3.00,26.46
20,Male,76.40,1.62,168.00,132.00,51.00,1.35,980.00,Cardio,21.20,2.60,4.00,2.00,29.11
22,Female,44.80,1.72,166.00,132.00,54.00,1.48,977.00,Cardio,28.60,1.80,4.00,2.00,15.14
31,Female,48.80,1.51,195.00,131.00,60.00,1.48,969.00,Cardio,28.20,2.00,2.00,1.00,21.40
31,Female,63.10,1.64,184.00,125.00,51.00,1.54,962.00,Cardio,19.00,2.70,4.00,3.00,23.46
24,Female,62.90,1.79,180.00,135.00,59.00,1.42,958.00,Cardio,27.30,2.30,4.00,2.00,19.63
40,Male,68.90,1.99,180.00,149.00,51.00,1.16,951.00,Cardio,25.00,2.40,4.00,2.00,17.40
27,Male,104.30,1.68,162.00,135.00,62.00,1.28,950.00,Cardio,29.70,3.50,3.00,2.00,36.95
48,Male,114.90,1.86,175.00,141.00,56.00,1.36,949.00,Cardio,21.10,3.60,3.00,1.00,33.21
40,Male,60.20,1.88,183.00,141.00,61.00,1.22,946.00,Cardio,25.20,3.00,3.00,2.00,17.03
49,Female,78.90,1.73,182.00,151.00,64.00,1.38,938.00,Cardio,34.00,2.30,2.00,1.00,26.36
52,Male,74.00,1.63,174.00,150.00,50.00,1.26,936.00,Cardio,25.70,3.70,3.00,2.00,27.85
46,Female,47.90,1.72,171.00,147.00,57.00,1.41,933.00,Cardio,26.30,2.00,3.00,1.00,16.19
59,Female,60.40,1.76,194.00,120.00,53.00,1.72,929.00,Cardio,18.80,2.70,5.00,3.00,19.50
34,Male,71.90,1.64,170.00,134.00,67.00,1.26,929.00,Cardio,21.30,2.10,4.00,2.00,26.73
27,Male,108.00,1.80,174.00,122.00,70.00,1.38,926.00,Cardio,28.60,2.50,4.00,2.00,33.33
55,Male,128.40,1.68,178.00,165.00,52.00,1.13,923.00,Cardio,20.40,2.60,4.00,2.00,45.49
49,Male,105.70,1.64,198.00,155.00,59.00,1.20,921.00,Cardio,29.50,3.10,3.00,2.00,39.30
30,Female,77.90,1.77,166.00,130.00,62.00,1.41,916.00,Cardio,27.90,2.60,4.00,2.00,24.87
51,Female,56.30,1.50,182.00,142.00,66.00,1.43,914.00,Cardio,27.40,2.40,3.00,1.00,25.02
56,Female,40.40,1.80,196.00,165.00,72.00,1.23,913.00,Cardio,30.00,2.10,4.00,2.00,12.47
31,Female,48.20,1.65,163.00,166.00,60.00,1.10,913.00,Cardio,26.10,2.50,2.00,1.00,17.70
23,Female,56.70,1.55,179.00,132.00,73.00,1.38,911.00,Cardio,34.00,1.90,4.00,2.00,23.60
45,Female,57.20,1.55,194.00,121.00,58.00,1.67,909.00,Cardio,18.40,2.70,5.00,3.00,23.81
29,Female,68.70,1.72,171.00,168.00,62.00,1.08,907.00,Cardio,29.80,1.70,4.00,2.00,23.22
19,Female,69.20,1.60,186.00,155.00,74.00,1.17,907.00,Cardio,32.40,1.60,3.00,1.00,27.03
27,Male,106.40,1.86,182.00,123.00,50.00,1.34,907.00,Cardio,20.60,3.10,2.00,1.00,30.76
34,Female,68.40,1.50,192.00,132.00,61.00,1.37,904.00,Cardio,33.70,2.10,4.00,2.00,30.40
42,Male,64.80,1.65,161.00,166.00,67.00,1.10,904.00,Cardio,24.40,2.80,3.00,2.00,23.80
27,Female,53.00,1.58,166.00,142.00,62.00,1.26,895.00,Cardio,34.50,1.80,4.00,2.00,21.23
40,Female,69.70,1.51,189.00,141.00,64.00,1.27,895.00,Cardio,30.60,1.90,3.00,2.00,30.57
52,Male,84.80,1.85,189.00,152.00,50.00,1.19,895.00,Cardio,23.40,3.20,2.00,1.00,24.78
31,Female,42.30,1.60,163.00,163.00,70.00,1.09,888.00,Cardio,25.10,1.90,3.00,2.00,16.52
42,Male,79.30,1.93,181.00,147.00,50.00,1.22,888.00,Cardio,27.30,3.30,2.00,1.00,21.29
43,Female,42.20,1.65,162.00,148.00,59.00,1.33,886.00,Cardio,34.60,2.30,3.00,2.00,15.50
41,Female,43.80,1.77,182.00,165.00,58.00,1.19,884.00,Cardio,31.90,1.60,3.00,1.00,13.98
19,Female,65.70,1.58,170.00,121.00,57.00,1.46,883.00,Cardio,25.90,1.90,3.00,2.00,26.32
52,Female,47.80,1.54,198.00,146.00,63.00,1.34,880.00,Cardio,29.80,1.90,3.00,2.00,20.16
56,Female,59.30,1.56,182.00,155.00,57.00,1.26,879.00,Cardio,33.40,2.60,4.00,2.00,24.37
20,Male,111.00,1.94,170.00,156.00,50.00,1.02,875.00,Cardio,27.60,3.30,4.00,2.00,29.49
43,Male,127.70,1.69,171.00,155.00,53.00,1.14,875.00,Cardio,24.10,2.90,3.00,2.00,44.71
42,Female,53.70,1.72,183.00,142.00,74.00,1.37,875.00,Cardio,29.80,1.60,3.00,1.00,18.15
38,Male,71.90,1.77,197.00,142.00,72.00,1.12,875.00,Cardio,25.70,3.10,2.00,1.00,22.95
46,Male,94.70,1.82,164.00,120.00,69.00,1.47,873.00,Cardio,23.20,3.20,3.00,2.00,28.59
54,Male,54.60,1.76,160.00,137.00,56.00,1.28,868.00,Cardio,27.40,3.30,4.00,2.00,17.63
51,Male,49.30,1.61,191.00,129.00,55.00,1.36,868.00,Cardio,28.30,2.90,2.00,1.00,19.02
31,Female,77.40,1.71,190.00,137.00,52.00,1.26,863.00,Cardio,26.20,1.80,4.00,2.00,26.47
57,Male,96.10,1.74,199.00,144.00,54.00,1.21,862.00,Cardio,21.60,2.80,3.00,2.00,31.74
56,Male,58.70,1.86,187.00,159.00,65.00,1.09,858.00,Cardio,22.60,3.30,3.00,2.00,16.97
25,Female,62.60,1.65,174.00,142.00,61.00,1.20,852.00,Cardio,27.90,2.20,3.00,1.00,22.99
54,Female,72.30,1.78,163.00,149.00,72.00,1.27,852.00,Cardio,27.70,1.80,2.00,1.00,22.82
20,Male,120.50,1.73,186.00,153.00,67.00,1.01,850.00,Cardio,29.30,3.40,3.00,2.00,40.26
34,Female,59.00,1.62,178.00,150.00,56.00,1.13,847.00,Cardio,30.90,2.40,4.00,2.00,22.48
19,Female,72.40,1.75,169.00,140.00,64.00,1.20,840.00,Cardio,31.00,1.70,4.00,2.00,23.64
54,Female,70.70,1.57,198.00,163.00,65.00,1.14,836.00,Cardio,31.80,2.10,3.00,1.00,28.68
30,Male,107.90,1.66,194.00,140.00,64.00,1.08,832.00,Cardio,29.50,2.80,3.00,2.00,39.16
21,Female,50.30,1.52,171.00,154.00,67.00,1.08,832.00,Cardio,32.20,2.60,3.00,1.00,21.77
28,Female,72.90,1.67,197.00,147.00,74.00,1.13,831.00,Cardio,34.70,2.20,3.00,2.00,26.14
54,Female,47.80,1.60,171.00,155.00,55.00,1.19,830.00,Cardio,26.00,2.30,4.00,2.00,18.67
44,Male,98.00,1.83,194.00,130.00,56.00,1.28,824.00,Cardio,25.70,3.50,4.00,2.00,29.26
43,Male,73.20,1.88,176.00,142.00,63.00,1.17,822.00,Cardio,29.40,3.30,3.00,1.00,20.71
47,Male,55.60,1.77,198.00,138.00,68.00,1.20,820.00,Cardio,24.30,2.90,4.00,2.00,17.75
26,Female,71.20,1.50,182.00,142.00,54.00,1.15,816.00,Cardio,34.60,2.60,2.00,1.00,31.64
24,Female,58.90,1.51,187.00,157.00,68.00,1.04,816.00,Cardio,31.70,2.50,2.00,1.00,25.83
48,Male,73.70,1.61,172.00,121.00,63.00,1.36,815.00,Cardio,21.80,3.60,4.00,2.00,28.43
28,Male,101.80,1.84,169.00,136.00,64.00,1.08,808.00,Cardio,29.70,2.70,3.00,1.00,30.07
45,Female,73.50,1.74,181.00,152.00,50.00,1.18,807.00,Cardio,30.00,2.30,4.00,2.00,24.28
54,Female,58.40,1.59,186.00,166.00,73.00,1.08,807.00,Cardio,32.50,1.90,2.00,1.00,23.10
35,Female,50.40,1.60,195.00,156.00,59.00,1.03,803.00,Cardio,29.10,1.90,4.00,2.00,19.69
21,Male,93.70,1.73,186.00,146.00,72.00,1.00,803.00,Cardio,27.80,3.60,2.00,1.00,31.31
19,Female,65.20,1.52,188.00,130.00,71.00,1.23,800.00,Cardio,30.60,2.40,3.00,1.00,28.22
45,Male,81.40,1.61,164.00,141.00,55.00,1.14,796.00,Cardio,30.00,2.20,4.00,2.00,31.40
52,Female,65.90,1.52,188.00,139.00,53.00,1.27,794.00,Cardio,27.00,2.30,4.00,2.00,28.52
38,Female,59.10,1.72,196.00,148.00,68.00,1.07,792.00,Cardio,31.30,1.70,3.00,2.00,19.98
35,Female,65.80,1.62,189.00,158.00,69.00,1.00,790.00,Cardio,33.80,1.50,4.00,2.00,25.07
22,Female,63.20,1.54,191.00,155.00,53.00,1.02,790.00,Cardio,29.50,2.40,4.00,2.00,26.65
25,Female,63.80,1.68,198.00,165.00,67.00,0.95,784.00,Cardio,31.60,1.90,2.00,1.00,22.60
41,Male,94.10,1.62,172.00,139.00,50.00,1.13,777.00,Cardio,23.40,3.10,4.00,2.00,35.86
56,Female,52.90,1.64,169.00,155.00,53.00,1.10,767.00,Cardio,27.40,2.30,3.00,2.00,19.67
55,Female,79.70,1.66,195.00,160.00,68.00,1.06,763.00,Cardio,27.80,1.90,2.00,1.00,28.92
49,Male,57.20,1.89,192.00,135.00,62.00,1.14,762.00,Cardio,21.10,3.50,2.00,1.00,16.01
36,Male,112.40,1.63,164.00,135.00,58.00,1.02,757.00,Cardio,25.00,3.40,4.00,2.00,42.30
21,Female,72.60,1.68,162.00,127.00,70.00,1.19,756.00,Cardio,34.20,1.80,3.00,2.00,25.72
57,Male,122.10,1.89,165.00,134.00,58.00,1.13,750.00,Cardio,27.40,3.60,3.00,1.00,34.18
34,Female,54.20,1.52,190.00,132.00,60.00,1.13,746.00,Cardio,31.00,2.20,3.00,1.00,23.46
35,Male,70.10,1.79,185.00,125.00,63.00,1.08,743.00,Cardio,28.00,2.30,3.00,2.00,21.88
31,Female,79.70,1.54,184.00,144.00,59.00,1.03,742.00,Cardio,26.70,2.30,4.00,2.00,33.61
19,Male,98.60,1.70,197.00,162.00,74.00,0.83,740.00,Cardio,21.10,2.40,2.00,1.00,34.12
33,Female,78.00,1.71,187.00,136.00,58.00,1.08,734.00,Cardio,26.30,2.10,3.00,1.00,26.67
26,Female,44.30,1.60,186.00,136.00,61.00,1.08,734.00,Cardio,34.70,2.00,3.00,1.00,17.30
51,Female,77.30,1.58,171.00,168.00,68.00,0.97,733.00,Cardio,31.10,2.00,2.00,1.00,30.96
43,Female,48.40,1.61,190.00,127.00,69.00,1.28,732.00,Cardio,34.10,2.40,2.00,1.00,18.67
35,Male,102.50,1.94,183.00,158.00,64.00,0.84,730.00,Cardio,21.10,2.40,2.00,1.00,27.23
19,Female,60.50,1.59,184.00,128.00,53.00,1.14,730.00,Cardio,30.10,2.20,2.00,1.00,23.93
45,Male,93.00,1.91,175.00,143.00,55.00,1.03,729.00,Cardio,27.30,3.70,3.00,2.00,25.49
37,Female,73.30,1.74,188.00,141.00,65.00,1.03,726.00,Cardio,25.50,2.40,3.00,2.00,24.21
