Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
18,Male,114.50,1.97,192.00,128.00,60.00,1.03,725.00,Cardio,24.10,2.60,3.00,1.00,29.50
46,Male,54.40,1.72,194.00,161.00,73.00,0.91,725.00,Cardio,24.80,2.90,2.00,1.00,18.39
57,Female,75.60,1.67,186.00,153.00,65.00,1.05,723.00,Cardio,31.60,1.80,3.00,2.00,27.11
29,Female,71.80,1.55,190.00,120.00,68.00,1.20,720.00,Cardio,26.30,2.40,4.00,2.00,29.89
55,Male,84.70,1.79,178.00,122.00,52.00,1.19,719.00,Cardio,23.30,2.40,3.00,2.00,26.43
43,Male,66.30,1.85,170.00,121.00,58.00,1.18,707.00,Cardio,27.50,3.20,2.00,1.00,19.37
48,Male,94.50,1.70,189.00,140.00,64.00,1.01,700.00,Cardio,28.20,3.50,3.00,2.00,32.70
18,Female,60.90,1.79,191.00,126.00,69.00,1.11,699.00,Cardio,31.10,2.10,2.00,1.00,19.01
18,Male,118.60,1.64,188.00,134.00,67.00,0.94,693.00,Cardio,25.60,2.70,3.00,1.00,44.10
25,Male,120.60,1.83,179.00,120.00,51.00,1.04,686.00,Cardio,22.30,2.50,3.00,2.00,36.01
18,Female,66.90,1.57,193.00,127.00,63.00,1.07,679.00,Cardio,30.70,2.20,3.00,2.00,27.14
39,Male,62.00,1.64,195.00,127.00,54.00,0.97,678.00,Cardio,27.50,3.20,3.00,1.00,23.05
32,Female,68.10,1.66,167.00,122.00,54.00,1.11,677.00,Cardio,33.40,2.30,4.00,2.00,24.71
54,Female,75.60,1.72,194.00,154.00,60.00,0.97,672.00,Cardio,26.40,1.90,3.00,1.00,25.55
58,Female,75.40,1.78,161.00,140.00,63.00,1.05,662.00,Cardio,26.00,2.50,4.00,2.00,23.80
41,Male,78.80,1.72,172.00,132.00,62.00,1.01,660.00,Cardio,27.30,3.10,4.00,2.00,26.64
33,Female,53.60,1.52,194.00,126.00,73.00,1.02,643.00,Cardio,30.90,2.30,2.00,1.00,23.20
26,Female,54.20,1.65,172.00,120.00,58.00,1.07,642.00,Cardio,34.90,1.90,4.00,2.00,19.91
59,Female,70.70,1.68,192.00,121.00,66.00,1.17,637.00,Cardio,34.90,1.90,3.00,2.00,25.05
34,Female,66.50,1.69,191.00,157.00,52.00,0.81,636.00,Cardio,28.10,2.30,3.00,1.00,23.28
25,Female,47.20,1.71,185.00,142.00,56.00,0.89,632.00,Cardio,26.00,2.50,2.00,1.00,16.14
25,Female,65.40,1.77,160.00,141.00,58.00,0.89,627.00,Cardio,27.60,2.60,3.00,1.00,20.88
52,Male,104.80,1.99,187.00,130.00,67.00,0.93,598.00,Cardio,24.00,2.00,2.00,1.00,26.46
47,Male,127.80,1.65,198.00,157.00,60.00,0.77,598.00,Cardio,28.70,3.50,2.00,1.00,46.94
37,Female,55.60,1.57,182.00,123.00,53.00,0.97,597.00,Cardio,29.20,2.40,2.00,1.00,22.56
52,Male,45.10,1.72,196.00,129.00,70.00,0.93,594.00,Cardio,27.50,3.30,2.00,1.00,15.24
43,Female,72.70,1.80,162.00,166.00,50.00,0.79,590.00,Cardio,32.80,2.10,3.00,1.00,22.44
54,Male,55.20,1.71,164.00,152.00,67.00,0.77,579.00,Cardio,24.40,2.80,2.00,1.00,18.88
46,Female,56.90,1.60,185.00,143.00,65.00,0.88,566.00,Cardio,27.70,1.60,3.00,1.00,22.23
33,Female,59.00,1.67,175.00,124.00,55.00,0.90,558.00,Cardio,33.70,1.90,3.00,1.00,21.16
18,Female,72.70,1.55,172.00,125.00,56.00,0.84,525.00,Cardio,29.80,2.00,3.00,1.00,30.26
36,Female,59.10,1.78,184.00,121.00,60.00,0.85,514.00,Cardio,34.50,2.20,2.00,1.00,18.65
20,Male,128.40,1.92,167.00,145.00,57.00,0.63,502.00,Cardio,26.10,2.00,2.00,1.00,34.83
38,Female,40.60,1.79,195.00,161.00,55.00,0.62,499.00,Cardio,26.80,2.70,2.00,1.00,12.67
37,Male,103.50,1.89,175.00,168.00,57.00,0.54,499.00,Cardio,26.40,3.10,2.00,1.00,28.97
50,Male,90.00,1.70,168.00,124.00,74.00,0.81,497.00,Cardio,22.90,2.70,2.00,1.00,31.14
27,Male,75.70,1.76,167.00,132.00,66.00,0.68,494.00,Cardio,25.30,2.30,3.00,1.00,24.44
34,Male,68.00,1.68,169.00,128.00,57.00,0.67,472.00,Cardio,25.80,3.40,2.00,1.00,24.09
19,Male,56.90,1.87,178.00,138.00,70.00,0.61,463.00,Cardio,23.30,3.70,3.00,1.00,16.27
46,Female,52.00,1.65,165.00,147.00,63.00,0.70,463.00,Cardio,34.10,1.90,2.00,1.00,19.10
31,Female,63.20,1.80,166.00,157.00,66.00,0.59,463.00,Cardio,25.50,2.60,2.00,1.00,19.51
54,Female,67.50,1.54,182.00,140.00,50.00,0.72,454.00,Cardio,25.20,1.50,3.00,1.00,28.46
59,Male,78.00,1.92,180.00,127.00,53.00,0.72,453.00,Cardio,28.10,2.70,3.00,1.00,21.16
32,Male,105.30,1.67,184.00,143.00,72.00,0.57,448.00,Cardio,26.90,2.90,3.00,1.00,37.76
37,Female,69.50,1.50,196.00,130.00,66.00,0.69,448.00,Cardio,32.80,2.40,2.00,1.00,30.89
31,Male,75.50,1.93,168.00,135.00,68.00,0.60,446.00,Cardio,20.50,3.40,2.00,1.00,20.27
39,Male,71.70,1.88,198.00,147.00,51.00,0.55,445.00,Cardio,23.70,2.20,2.00,1.00,20.29
53,Male,105.10,1.84,176.00,130.00,62.00,0.69,444.00,Cardio,23.30,2.90,3.00,1.00,31.04
59,Female,54.60,1.57,164.00,169.00,64.00,0.58,441.00,Cardio,29.20,2.30,3.00,1.00,22.15
18,Male,63.20,1.63,162.00,120.00,73.00,0.66,436.00,Cardio,27.50,2.20,3.00,1.00,23.79
45,Female,50.40,1.79,182.00,130.00,59.00,0.74,433.00,Cardio,27.70,2.50,2.00,1.00,15.73
51,Female,74.60,1.55,177.00,132.00,50.00,0.71,422.00,Cardio,33.30,2.10,2.00,1.00,31.05
48,Female,67.10,1.61,160.00,151.00,74.00,0.62,421.00,Cardio,33.40,1.50,2.00,1.00,25.89
32,Female,59.00,1.66,184.00,160.00,64.00,0.51,408.00,Cardio,31.00,1.80,2.00,1.00,21.41
32,Male,65.20,1.62,186.00,128.00,63.00,0.58,408.00,Cardio,25.30,3.40,2.00,1.00,24.84
57,Female,75.70,1.63,161.00,131.00,60.00,0.69,407.00,Cardio,32.60,2.30,3.00,1.00,28.49
45,Female,65.50,1.57,192.00,133.00,59.00,0.66,395.00,Cardio,34.30,2.30,2.00,1.00,26.57
52,Male,116.50,1.69,198.00,148.00,51.00,0.53,388.00,Cardio,27.30,2.40,2.00,1.00,40.79
22,Male,98.40,1.88,194.00,135.00,71.00,0.52,386.00,Cardio,21.30,2.20,2.00,1.00,27.84
58,Female,66.10,1.75,169.00,128.00,57.00,0.63,363.00,Cardio,25.20,1.80,2.00,1.00,21.58
50,Female,67.10,1.75,161.00,120.00,59.00,0.67,362.00,Cardio,31.80,2.70,3.00,1.00,21.91
37,Female,73.50,1.69,174.00,131.00,66.00,0.54,354.00,Cardio,27.50,1.60,2.00,1.00,25.73
53,Male,61.00,1.63,170.00,124.00,74.00,0.54,331.00,Cardio,20.00,3.40,3.00,1.00,22.96
23,Female,64.50,1.70,187.00,125.00,72.00,0.51,319.00,Cardio,30.40,1.70,2.00,1.00,22.32
47,Female,43.40,1.62,179.00,132.00,64.00,0.51,303.00,Cardio,25.30,2.30,3.00,1.00,16.54
19,Male,82.40,1.96,174.00,169.00,62.00,1.90,"1,766.00",HIIT,10.10,3.50,5.00,3.00,21.45
25,Male,81.50,1.61,170.00,159.00,63.00,1.93,"1,688.00",HIIT,10.90,3.50,4.00,3.00,31.44
36,Male,88.00,1.71,185.00,160.00,73.00,1.87,"1,646.00",HIIT,12.00,3.50,5.00,3.00,30.09
27,Male,89.30,1.64,192.00,162.00,64.00,1.82,"1,622.00",HIIT,12.10,3.50,4.00,3.00,33.20
32,Male,85.90,1.60,176.00,145.00,60.00,1.99,"1,587.00",HIIT,14.50,3.50,5.00,3.00,33.55
37,Male,87.80,1.69,183.00,158.00,69.00,1.81,"1,573.00",HIIT,10.30,3.50,5.00,3.00,30.74
18,Male,83.20,1.96,183.00,150.00,67.00,1.83,"1,510.00",HIIT,13.60,3.50,4.00,3.00,21.66
24,Male,88.20,1.79,177.00,154.00,65.00,1.76,"1,491.00",HIIT,11.30,3.50,4.00,3.00,27.53
21,Female,61.30,1.57,191.00,152.00,64.00,1.94,"1,474.00",HIIT,17.20,2.70,4.00,3.00,24.87
49,Male,85.00,1.68,197.00,163.00,74.00,1.82,"1,468.00",HIIT,11.30,3.50,4.00,3.00,30.12
46,Male,84.30,2.00,189.00,162.00,66.00,1.83,"1,467.00",HIIT,13.30,3.50,5.00,3.00,21.07
18,Male,82.30,1.84,190.00,148.00,66.00,1.73,"1,408.00",HIIT,13.30,3.50,5.00,3.00,24.31
48,Male,83.90,1.82,176.00,149.00,70.00,1.90,"1,401.00",HIIT,13.10,3.50,5.00,3.00,25.33
32,Female,56.60,1.57,170.00,167.00,72.00,1.65,"1,378.00",HIIT,15.70,2.70,4.00,3.00,22.96
52,Female,64.90,1.51,164.00,165.00,68.00,1.83,"1,359.00",HIIT,18.20,2.70,4.00,3.00,28.46
20,Male,82.70,1.99,179.00,146.00,59.00,1.69,"1,357.00",HIIT,14.60,3.50,5.00,3.00,20.88
41,Male,82.80,1.66,177.00,139.00,74.00,1.97,"1,355.00",HIIT,11.20,3.50,5.00,3.00,30.05
32,Female,62.60,1.63,190.00,161.00,58.00,1.67,"1,344.00",HIIT,15.00,2.70,5.00,3.00,23.56
23,Male,87.30,1.91,164.00,129.00,58.00,1.87,"1,327.00",HIIT,11.80,3.50,5.00,3.00,23.93
31,Female,62.50,1.62,168.00,169.00,74.00,1.56,"1,318.00",HIIT,16.50,2.70,4.00,3.00,23.81
18,Male,87.60,1.93,161.00,139.00,72.00,1.72,"1,315.00",HIIT,11.90,3.50,4.00,3.00,23.52
37,Male,124.20,1.76,168.00,158.00,50.00,1.50,"1,304.00",HIIT,29.30,2.80,2.00,1.00,40.10
57,Male,83.40,1.65,172.00,166.00,67.00,1.57,"1,290.00",HIIT,13.30,3.50,4.00,3.00,30.63
41,Female,63.40,1.59,162.00,153.00,55.00,1.84,"1,267.00",HIIT,15.20,2.70,5.00,3.00,25.08
45,Male,88.50,1.78,198.00,167.00,67.00,1.53,"1,265.00",HIIT,13.20,3.50,4.00,3.00,27.93
32,Female,61.70,1.58,183.00,135.00,54.00,1.87,"1,262.00",HIIT,16.60,2.70,5.00,3.00,24.72
43,Female,61.50,1.58,165.00,149.00,50.00,1.86,"1,247.00",HIIT,16.80,2.70,5.00,3.00,24.64
38,Male,81.40,1.71,187.00,148.00,58.00,1.52,"1,237.00",HIIT,10.20,3.50,5.00,3.00,27.84
48,Male,69.00,1.74,160.00,167.00,58.00,1.48,"1,223.00",HIIT,30.00,2.30,3.00,2.00,22.79
54,Female,56.50,1.75,196.00,154.00,66.00,1.76,"1,220.00",HIIT,15.30,2.70,5.00,3.00,18.45
36,Male,84.00,1.94,168.00,123.00,50.00,1.80,"1,218.00",HIIT,11.20,3.50,5.00,3.00,22.32
21,Male,125.20,1.66,196.00,159.00,60.00,1.38,"1,207.00",HIIT,29.80,3.40,3.00,2.00,45.43
47,Male,66.20,1.71,181.00,169.00,71.00,1.42,"1,188.00",HIIT,22.80,2.90,3.00,1.00,22.64
41,Male,81.60,1.87,167.00,128.00,59.00,1.87,"1,185.00",HIIT,10.20,3.50,5.00,3.00,23.33
47,Male,84.80,1.86,187.00,129.00,63.00,1.85,"1,181.00",HIIT,14.40,3.50,5.00,3.00,24.51
40,Male,106.50,1.65,162.00,162.00,74.00,1.32,"1,176.00",HIIT,21.00,3.60,4.00,2.00,39.12
29,Male,86.10,1.65,183.00,128.00,71.00,1.66,"1,169.00",HIIT,11.20,3.50,4.00,3.00,31.63
22,Female,55.10,1.61,166.00,144.00,68.00,1.62,"1,166.00",HIIT,19.90,2.70,4.00,3.00,21.26
47,Male,88.40,1.60,186.00,126.00,60.00,1.86,"1,160.00",HIIT,14.20,3.50,5.00,3.00,34.53
44,Male,82.50,1.79,167.00,155.00,70.00,1.51,"1,159.00",HIIT,13.80,3.50,5.00,3.00,25.75
23,Female,78.60,1.73,192.00,156.00,56.00,1.47,"1,147.00",HIIT,32.30,1.50,4.00,2.00,26.26
30,Male,91.40,1.99,171.00,152.00,60.00,1.37,"1,145.00",HIIT,23.00,3.70,3.00,2.00,23.08
22,Female,48.70,1.76,165.00,167.00,66.00,1.37,"1,144.00",HIIT,29.00,2.20,4.00,2.00,15.72
21,Male,88.40,1.60,198.00,121.00,67.00,1.71,"1,138.00",HIIT,12.00,3.50,4.00,3.00,34.53
52,Female,57.90,1.56,166.00,152.00,68.00,1.66,"1,135.00",HIIT,15.80,2.70,4.00,3.00,23.79
42,Male,70.20,1.87,188.00,165.00,65.00,1.38,"1,127.00",HIIT,22.70,3.40,3.00,2.00,20.07
56,Female,58.00,1.68,168.00,156.00,74.00,1.59,"1,116.00",HIIT,15.50,2.70,5.00,3.00,20.55
42,Male,86.30,1.77,172.00,127.00,55.00,1.77,"1,113.00",HIIT,11.40,3.50,4.00,3.00,27.55
58,Male,82.20,1.87,171.00,143.00,55.00,1.57,"1,111.00",HIIT,10.70,3.50,4.00,3.00,23.51
19,Female,64.00,1.53,166.00,167.00,58.00,1.33,"1,111.00",HIIT,29.80,2.30,3.00,2.00,27.34
45,Female,41.20,1.58,195.00,168.00,71.00,1.47,"1,111.00",HIIT,28.70,2.60,2.00,1.00,16.50
53,Female,64.40,1.55,194.00,139.00,62.00,1.77,"1,107.00",HIIT,19.70,2.70,4.00,3.00,26.81
23,Female,60.10,1.59,191.00,123.00,52.00,1.80,"1,107.00",HIIT,17.60,2.70,4.00,3.00,23.77
45,Male,84.90,1.86,186.00,136.00,66.00,1.64,"1,104.00",HIIT,14.20,3.50,5.00,3.00,24.54
53,Female,56.90,1.59,199.00,164.00,65.00,1.49,"1,100.00",HIIT,29.50,2.00,3.00,2.00,22.51
58,Female,63.00,1.78,176.00,154.00,73.00,1.58,"1,095.00",HIIT,17.50,2.70,4.00,3.00,19.88
31,Female,60.50,1.77,187.00,127.00,56.00,1.72,"1,092.00",HIIT,15.00,2.70,4.00,3.00,19.31
54,Male,83.60,1.86,168.00,142.00,56.00,1.54,"1,082.00",HIIT,12.40,3.50,5.00,3.00,24.16
38,Female,57.70,1.56,185.00,132.00,54.00,1.64,"1,082.00",HIIT,16.60,2.70,5.00,3.00,23.71
33,Male,102.60,1.75,186.00,140.00,53.00,1.40,"1,078.00",HIIT,27.90,2.20,3.00,2.00,33.50
23,Female,67.80,1.61,186.00,160.00,66.00,1.34,"1,072.00",HIIT,34.30,1.80,2.00,1.00,26.16
24,Female,52.60,1.57,169.00,166.00,60.00,1.29,"1,071.00",HIIT,31.90,2.40,2.00,1.00,21.34
47,Female,61.00,1.76,162.00,153.00,54.00,1.54,"1,060.00",HIIT,15.60,2.70,5.00,3.00,19.69
34,Male,124.60,1.63,161.00,136.00,66.00,1.41,"1,055.00",HIIT,27.60,2.80,3.00,2.00,46.90
44,Female,77.70,1.79,198.00,165.00,53.00,1.41,"1,047.00",HIIT,28.10,2.20,3.00,1.00,24.25
43,Female,66.30,1.77,177.00,157.00,57.00,1.48,"1,046.00",HIIT,32.70,1.70,4.00,2.00,21.16
54,Female,50.20,1.61,188.00,157.00,67.00,1.48,"1,046.00",HIIT,28.20,2.70,2.00,1.00,19.37
46,Male,72.60,1.87,188.00,161.00,64.00,1.31,"1,044.00",HIIT,22.60,3.40,4.00,2.00,20.76
59,Male,123.30,1.88,177.00,161.00,67.00,1.30,"1,036.00",HIIT,23.00,2.60,4.00,2.00,34.89
55,Female,75.20,1.67,188.00,167.00,51.00,1.37,"1,030.00",HIIT,25.20,2.20,2.00,1.00,26.96
32,Male,97.30,1.96,189.00,137.00,50.00,1.36,"1,025.00",HIIT,24.90,3.40,3.00,2.00,25.33
28,Male,66.00,1.90,175.00,158.00,56.00,1.18,"1,025.00",HIIT,24.10,3.00,3.00,1.00,18.28
21,Male,74.20,1.93,187.00,141.00,56.00,1.32,"1,024.00",HIIT,28.30,2.50,3.00,2.00,19.92
40,Male,63.80,1.62,185.00,143.00,72.00,1.30,"1,022.00",HIIT,20.80,3.40,2.00,1.00,24.31
36,Male,110.20,1.77,191.00,156.00,74.00,1.19,"1,021.00",HIIT,26.50,3.40,2.00,1.00,35.18
20,Female,72.60,1.73,199.00,160.00,68.00,1.27,"1,016.00",HIIT,34.80,2.50,3.00,2.00,24.26
43,Male,94.00,1.79,187.00,156.00,62.00,1.31,"1,012.00",HIIT,23.20,3.40,2.00,1.00,29.34
49,Male,83.70,1.87,183.00,158.00,53.00,1.29,"1,009.00",HIIT,23.90,2.30,4.00,2.00,23.94
33,Female,78.50,1.66,161.00,156.00,69.00,1.29,"1,006.00",HIIT,32.80,1.90,4.00,2.00,28.49
31,Male,78.80,1.71,177.00,121.00,59.00,1.49,992.00,HIIT,24.70,2.50,4.00,2.00,26.95
18,Male,64.50,1.82,187.00,149.00,52.00,1.20,983.00,HIIT,23.40,2.40,3.00,2.00,19.47
24,Female,67.70,1.56,177.00,138.00,66.00,1.42,980.00,HIIT,27.00,2.10,3.00,2.00,27.82
47,Female,49.90,1.69,178.00,147.00,64.00,1.48,979.00,HIIT,26.00,1.70,3.00,2.00,17.47
39,Female,55.40,1.60,192.00,136.00,72.00,1.44,979.00,HIIT,26.30,1.60,3.00,2.00,21.64
45,Male,58.40,1.72,194.00,150.00,65.00,1.31,973.00,HIIT,23.40,3.10,4.00,2.00,19.74
36,Male,95.80,1.86,193.00,129.00,65.00,1.37,972.00,HIIT,21.20,3.20,3.00,1.00,27.69
21,Male,86.60,1.86,163.00,129.00,58.00,1.37,972.00,HIIT,21.80,2.60,3.00,2.00,25.03
28,Female,79.60,1.59,181.00,130.00,54.00,1.49,968.00,HIIT,28.20,1.50,3.00,2.00,31.49
44,Female,60.40,1.65,176.00,169.00,54.00,1.27,966.00,HIIT,32.60,2.10,4.00,2.00,22.19
43,Female,40.50,1.74,187.00,143.00,51.00,1.50,965.00,HIIT,32.90,2.20,3.00,2.00,13.38
32,Male,108.20,1.80,172.00,138.00,53.00,1.27,964.00,HIIT,28.40,3.50,3.00,1.00,33.40
58,Male,58.60,1.66,172.00,161.00,60.00,1.21,964.00,HIIT,26.80,2.90,2.00,1.00,21.27
38,Female,61.40,1.54,183.00,131.00,69.00,1.47,963.00,HIIT,30.60,2.70,3.00,2.00,25.89
37,Male,76.30,1.77,180.00,128.00,57.00,1.36,957.00,HIIT,27.30,2.10,4.00,2.00,24.35
30,Male,113.40,1.91,177.00,137.00,54.00,1.27,957.00,HIIT,22.20,3.70,3.00,1.00,31.08
27,Male,102.60,1.83,199.00,123.00,58.00,1.41,954.00,HIIT,26.50,3.50,3.00,2.00,30.64
19,Female,58.80,1.77,181.00,136.00,53.00,1.40,952.00,HIIT,32.80,2.70,2.00,1.00,18.77
28,Male,86.90,1.78,164.00,134.00,68.00,1.29,951.00,HIIT,24.90,3.70,4.00,2.00,27.43
52,Male,105.20,1.62,189.00,141.00,61.00,1.36,949.00,HIIT,27.60,3.20,3.00,1.00,40.09
20,Female,75.80,1.78,197.00,133.00,53.00,1.42,944.00,HIIT,27.40,2.00,4.00,2.00,23.92
50,Female,58.40,1.79,164.00,131.00,56.00,1.60,943.00,HIIT,17.00,2.70,4.00,3.00,18.23
41,Female,71.20,1.64,165.00,147.00,54.00,1.42,939.00,HIIT,30.90,2.30,3.00,2.00,26.47
29,Male,121.10,1.87,188.00,130.00,52.00,1.31,937.00,HIIT,24.10,3.20,4.00,2.00,34.63
58,Male,52.00,1.79,173.00,169.00,52.00,1.12,937.00,HIIT,29.60,3.00,3.00,1.00,16.23
49,Female,62.10,1.66,173.00,152.00,73.00,1.37,937.00,HIIT,31.30,1.80,3.00,2.00,22.54
44,Male,89.30,1.99,192.00,135.00,58.00,1.40,936.00,HIIT,26.30,2.00,4.00,2.00,22.55
25,Female,64.40,1.71,179.00,167.00,61.00,1.12,935.00,HIIT,27.10,1.80,3.00,1.00,22.02
39,Female,64.30,1.69,190.00,148.00,58.00,1.25,925.00,HIIT,26.90,1.90,4.00,2.00,22.51
51,Male,59.00,1.65,198.00,153.00,53.00,1.22,924.00,HIIT,20.70,2.30,3.00,2.00,21.67
50,Female,56.40,1.59,185.00,163.00,74.00,1.26,924.00,HIIT,34.30,2.60,3.00,1.00,22.31
40,Female,57.70,1.69,184.00,156.00,53.00,1.18,920.00,HIIT,33.10,2.40,4.00,2.00,20.20
22,Male,110.50,1.92,172.00,144.00,55.00,1.16,919.00,HIIT,20.20,3.30,3.00,2.00,29.98
34,Female,69.20,1.53,167.00,134.00,59.00,1.36,911.00,HIIT,28.50,2.10,2.00,1.00,29.56
38,Female,49.70,1.51,179.00,145.00,65.00,1.25,906.00,HIIT,32.60,2.50,3.00,1.00,21.80
57,Female,68.50,1.56,168.00,138.00,68.00,1.45,900.00,HIIT,29.10,1.60,4.00,2.00,28.15
41,Male,67.00,1.77,161.00,149.00,50.00,1.22,900.00,HIIT,25.60,2.60,3.00,2.00,21.39
53,Female,52.40,1.57,171.00,149.00,71.00,1.34,898.00,HIIT,28.30,2.20,3.00,2.00,21.26
53,Male,68.50,1.97,194.00,139.00,69.00,1.30,894.00,HIIT,23.20,2.10,3.00,2.00,17.65
20,Female,71.30,1.58,167.00,167.00,54.00,1.07,893.00,HIIT,25.40,1.50,3.00,2.00,28.56
23,Male,107.00,1.94,198.00,120.00,73.00,1.35,891.00,HIIT,23.50,2.90,2.00,1.00,28.43
42,Male,76.40,1.97,165.00,157.00,65.00,1.14,886.00,HIIT,22.90,2.60,3.00,2.00,19.69
46,Female,74.90,1.53,179.00,151.00,66.00,1.30,883.00,HIIT,33.90,2.10,4.00,2.00,32.00
32,Male,126.40,1.83,198.00,146.00,62.00,1.10,883.00,HIIT,28.20,2.10,3.00,2.00,37.74
49,Female,49.20,1.54,179.00,153.00,63.00,1.28,881.00,HIIT,30.70,2.10,3.00,2.00,20.75
23,Male,107.20,1.93,167.00,139.00,55.00,1.15,879.00,HIIT,20.20,3.10,4.00,2.00,28.78
28,Male,108.50,1.79,183.00,120.00,68.00,1.33,878.00,HIIT,24.80,2.10,4.00,2.00,33.86
22,Female,40.30,1.56,192.00,121.00,57.00,1.45,877.00,HIIT,30.80,2.10,4.00,2.00,16.56
42,Male,63.30,1.77,183.00,134.00,59.00,1.32,876.00,HIIT,25.70,3.30,3.00,2.00,20.20
33,Female,78.00,1.68,183.00,135.00,55.00,1.29,871.00,HIIT,32.30,1.80,3.00,2.00,27.64
34,Male,112.40,1.85,162.00,134.00,66.00,1.18,870.00,HIIT,23.40,3.60,4.00,2.00,32.84
53,Male,51.70,1.70,175.00,152.00,72.00,1.15,865.00,HIIT,23.60,3.50,3.00,2.00,17.89
